[CrossWire] *[FinRK]  	(1.7)  	- Raamattu Kansalle (2012)
[CrossWire] *[FreBBB]  	(1.3)  	- French Bible Bovet Bonnet (1900)
[CrossWire] *[FreCJE]  	(1.2)  	- Chaque jour les Écritures
[CrossWire] *[FreCrampon]  	(2.0.1)  	- La Bible Augustin Crampon 1923
[CrossWire] *[FreGeneve1669]  	(1.0.3)  	- Le Nouveau Testament de la Bible de Genève de 1669
[CrossWire] *[FreJND]  	(1.21.1)  	- French John Nelson Darby (1975)
[CrossWire] *[FreKhan]  	(1.0.2)  	- La Bible de Zadoc Khan
[CrossWire] *[FreMartin]  	(1.2)  	- French Bible Martin (1744)
[CrossWire] *[FreOltramare1874]  	(1.0.3)  	- Le Nouveau Testament Version Oltramare 1874
[CrossWire] *[FrePGR]  	(1.2)  	- Bible Perret-Gentil et Rilliet
[CrossWire] *[FreSegond]  	(2.0.1)  	- French Traduction de Louis Segond (1910)
[CrossWire] *[FreStapfer1889]  	(1.0.2)  	- Le Nouveau Testament traduction de Stapfer - 1889
[CrossWire] *[FreSynodale1921]  	(1.0.3)  	- Le Nouveau Testament Version Synodale 1921 et le livre des Psaumes
[CrossWire] *[Geez]  	(1.0)  	- Ge'ez Bible
[CrossWire] *[Geneva]  	(1.1)  	- Geneva Bible Translation Notes
[CrossWire] *[Geneva1599]  	(2.0)  	- Geneva Bible (1599)
[CrossWire] *[GerAlbrecht]  	(1.5)  	- German Albrecht Neues Testament und Psalmen
[CrossWire] *[GerElb1871]  	(1.1.2)  	- German Elberfelder (1871) (sogenannt)
[CrossWire] *[GerElb1905]  	(1.5)  	- German Darby Unrevidierte Elberfelder (1905)
[CrossWire] *[GerGruenewald]  	(1.5)  	- 1924 Grünewaldbibel
[CrossWire] *[GerHfa2002]  	(1.1)  	- Hoffnung fuer alle - Die Bibel
[CrossWire] *[GerLut1545]  	(2.0.1)  	- German Luther Übersetzung von 1545 (moderne Rechtschreibung)
[CrossWire] *[GerNeUe]  	(2.7)  	- Neue evangelistische Übersetzung
[CrossWire] *[GerReinhardt]  	(1.6)  	- German Reinhardt Evangelien
[CrossWire] *[GerSch]  	(1.1.1)  	- German Schlachter Bibel (1951)
[CrossWire] *[GerTafel]  	(1.1)  	- German Tafelbibel (1911)
[CrossWire] *[GerTextbibel]  	(1.1)  	- German Textbibel AT (1906)
[CrossWire] *[Godbey]  	(1.0)  	- 1902 William Baxter Godbey NT
[CrossWire] *[GodsWord]  	(1.3.1)  	- GOD'S WORD to the Nations
[CrossWire] *[GreVamvas]  	(1.0.2)  	- Neophytos Vamvas's translation of the Holy Bible into modern Greek (1850)
[CrossWire] *[Haitian]  	(1.5)  	- Haitian Creole Bible
[CrossWire] *[HebDelitzsch]  	(1.1.1)  	- Hebrew New Testament 2015-07-20 with Niqqud, based on Delitzsch's translation
[CrossWire] *[HebModern]  	(1.1)  	- Modern Hebrew Bible
[CrossWire] *[HinERV]  	(1.1)  	- Holy Bible: Easy-to-Read Version (Hindi ERV)
[CrossWire] *[HunKar]  	(1.7)  	- Hungarian Vizsoly (Karoli) Biblia (1590)
[CrossWire] *[HunUj]  	(1.7.3)  	- Magyar Bibliatársulat újfordítású Bibliája
[CrossWire] *[ISV]  	(1.5)  	- International Standard Version
[CrossWire] *[IriODomhnuill]  	(1.0)  	- A modern Irish New Testament (Luke preview)
[CrossWire] *[ItaDio]  	(1.0)  	- Italian Giovanni Diodati Bibbia 1649
[CrossWire] *[ItaRive]  	(1.0)  	- Italian Riveduta Bibbia (1927)
[CrossWire] *[JFB]  	(2.2)  	- Jamieson Fausset Brown Bible Commentary
[CrossWire] *[JPS]  	(1.5)  	- Jewish Publication Society Old Testament
[CrossWire] *[JST]  	(1.1)  	- Joseph Smith Translation
[CrossWire] *[Jubilee2000]  	(1.1)  	- English Jubilee 2000 Bible
[CrossWire] *[KD]  	(1.0)  	- Keil and Delitzsch Biblical Commentary on the Old Testament
[CrossWire] *[KJV]  	(2.9)  	- King James Version (1769) with Strongs Numbers and Morphology
[CrossWire] *[KJVA]  	(3.0.1)  	- King James Version (1769) including Apocrypha, with Strongs Numbers and Morphology
[CrossWire] *[KJVPCE]  	(1.0)  	- King James Version: Pure Cambridge Edition
[CrossWire] *[KLV]  	(2.2)  	- Klingon Language Version of the World English Bible
[CrossWire] *[Kapingamarangi]  	(1.0.1)  	- The New Testament in the Kapingamarangi language
[CrossWire] *[Kaz]  	(1.1)  	- Киелі кітап
[CrossWire] *[Kekchi]  	(1.5)  	- K'ekchi' Bible
[CrossWire] *[KhmerNT]  	(1.1)  	- Khmer Christian Bible
[CrossWire] *[KonNYM]  	(1.0)  	- Ngwakana ya Mpa ti Bankembila par le Père Widart
[CrossWire] *[KorHKJV]  	(1.0)  	- Hangul King James Version
[CrossWire] *[KorRV]  	(2.0)  	- 개역성경
[CrossWire] *[LEB]  	(2.7)  	- The Lexham English Bible
[CrossWire] *[LITV]  	(1.4)  	- Green's Literal Translation
[CrossWire] *[LO]  	(1.1)  	- The Living Oracles NT
[CrossWire] *[LXX]  	(2.5)  	- Septuagint, Morphologically Tagged Rahlfs'
[CrossWire] *[Latvian]  	(1.4)  	- Latvian New Testament
[CrossWire] *[Leeser]  	(1.2)  	- 1853 Leeser Old Testament
[CrossWire] *[Lightfoot]  	(1.0)  	- John Lightfoot Commentary
[CrossWire] *[Lithuanian]  	(1.7)  	- Lithuanian Bible
[CrossWire] *[Luther]  	(1.1)  	- Luther's Commentary on Selected Bible Passages
[CrossWire] *[MAK]  	(1.0)  	- Matthias Ansorgs Kommentar
[CrossWire] *[MHC]  	(1.6)  	- Matthew Henry's Complete Commentary on the Whole Bible
[CrossWire] *[MHCC]  	(1.1)  	- Matthew Henry's Concise Commentary on the Whole Bible
[CrossWire] *[MKJV]  	(1.4)  	- Green's Modern King James Version
[CrossWire] *[Mal1910]  	(1.1.1)  	- Sathyavedapusthakam (Malayalam Bible) published in 1910
[CrossWire] *[ManxGaelic]  	(1.1)  	- Manx Gaelic Scripture Portions
[CrossWire] *[Maori]  	(1.1)  	- Maori Bible
[CrossWire] *[MapM]  	(1.0)  	- מקרא על פי המסורה (Miqra `al pi ha-Mesorah)
[CrossWire] *[Mg1865]  	(1.1.1)  	- Malagasy Bible (1865)
[CrossWire] *[MonKJV]  	(1.3)  	- Mongolian King James Version
[CrossWire] *[Montgomery]  	(1.3)  	- Montgomery New Testament
[CrossWire] *[MorphGNT]  	(2.0)  	- Morphologically Parsed Greek New Testament based on the SBLGNT
[CrossWire] *[Murdock]  	(1.2)  	- James Murdock's Translation of the Syriac Peshitta
[CrossWire] *[NETfree]  	(1.0.1)  	- Free version of New English Translation with limited notes
[CrossWire] *[NETnotesfree]  	(1.0.1)  	- Free version of NET Bible Footnotes with limited notes
[CrossWire] *[NETtext]  	(1.0.0)  	- New English Translation text only with footnote markers
[CrossWire] *[NHEB]  	(2.1)  	- New Heart English Bible
[CrossWire] *[NHEBJE]  	(2.1)  	- New Heart English Bible: Jehovah Edition
[CrossWire] *[NHEBME]  	(2.1)  	- New Heart English Bible: Messianic Edition
[CrossWire] *[Ndebele]  	(1.1)  	- Ndebele Bible
[CrossWire] *[Nestle]  	(1.1)  	- Nestle GNT
[CrossWire] *[NlCanisius1939]  	(1.0)  	- Petrus Canisius Translation
[CrossWire] *[NorBroed]  	(1.0.1)  	- Brød Nye Testamente
[CrossWire] *[NorSMB]  	(1.0)  	- Studentmållagsbibelen frå 1921
[CrossWire] *[Norsk]  	(1.5)  	- Bibelen på Norsk (1930)
[CrossWire] *[NorthernAzeri]  	(1.0)  	- Northern Azeri Translation
[CrossWire] *[Noyes]  	(1.2)  	- 1869 Noyes Translation
[CrossWire] *[OEB]  	(1.1)  	- Open English Bible (US Spelling)
[CrossWire] *[OEBcth]  	(1.1)  	- Open English Bible (Commonwealth Spelling)
[CrossWire] *[OSHB]  	(1.0)  	- Open Scriptures Hebrew Bible
[CrossWire] *[OrthJBC]  	(1.1)  	- The Orthodox Jewish Brit Chadasha
[CrossWire] *[OxfordTR]  	(1.0)  	- 1873 Oxford Textus Receptus Gospel of John
[CrossWire] *[PNT]  	(1.1)  	- The People's New Testament
[CrossWire] *[Personal]  	(1.0)  	- Personal Commentary
[CrossWire] *[Peshitta]  	(1.1)  	- Syriac Peshitta
[CrossWire] *[PohnOld]  	(1.01)  	- Old Public Domain Pohnpeian Bible
[CrossWire] *[Pohnpeian]  	(1.1.1)  	- Bible in Pohnpeian language
[CrossWire] *[PolGdanska]  	(1.0)  	- Polish Biblia Gdanska (1881)
[CrossWire] *[PorAR]  	(1.3)  	- Bíblia Almeida Recebida (AR)
[CrossWire] *[PorCap]  	(1.0.1)  	- Bíblia Sagrada (Capuchinhos)
[CrossWire] *[PorCapNT]  	(1.0.1)  	- Bíblia Sagrada (Capuchinhos) Novo Testamento
[CrossWire] *[PorLivre]  	(1.3)  	- Bíblia Livre
[CrossWire] *[PotLykins]  	(1.0)  	- 1833 Potawatomi Matthew and Acts
[CrossWire] *[QuotingPassages]  	(1.2)  	- Scripture Passages Quoting Scripture
[CrossWire] *[RKJNT]  	(1.0)  	- Revised King James New Testament
[CrossWire] *[RNKJV]  	(1.5)  	- Restored Name King James Version
[CrossWire] *[RWP]  	(2.0)  	- Robertson's Word Pictures
[CrossWire] *[RWebster]  	(1.3)  	- Revised Webster Version (1833)
[CrossWire] *[RecVer]  	(1.0)  	- Text Only Recovery Version (no outlines)
[CrossWire] *[Rieger]  	(1.0)  	- Carl Heinrich Riegers Kommentar
[CrossWire] *[RomCor]  	(2.1)  	- Cornilescu Bible in Romanian language
[CrossWire] *[Rotherham]  	(1.7)  	- The Emphasised Bible by J. B. Rotherham
[CrossWire] *[RusCARS]  	(4.0.2)  	- Смысловой перевод Таурата, Книги Пророков, Забура и Инджила.
[CrossWire] *[RusMakarij]  	(1.1)  	- The Pentateuch of Moses in Russian
[CrossWire] *[RusSynodal]  	(1.8.1)  	- 1876 Russian Synodal Bible
[CrossWire] *[RusSynodalLIO]  	(1.0.1)  	- Russian Synodal Bible, Licht im Osten Edition
[CrossWire] *[RusVZh]  	(1.0)  	- Russian New Testament with Strong's Numbers under edition of Victor R. Zhuromsky.
[CrossWire] *[SBLGNT]  	(1.3.1)  	- The Greek New Testament: SBL Edition
[CrossWire] *[SBLGNTApp]  	(1.3)  	- The Greek New Testament: SBL Edition, Apparatus
[CrossWire] *[SP]  	(1.0)  	- Samaritan Pentateuch
[CrossWire] *[SPDSS]  	(1.0)  	- Dead Sea Scrolls variants parallel to the Samaritan Pentateuch
[CrossWire] *[SPE]  	(1.0)  	- Samaritan Pentateuch in English
[CrossWire] *[SPMT]  	(1.0)  	- Masoretic Text parallel to the Samaritan Pentateuch
[CrossWire] *[SPVar]  	(1.0)  	- Samaritan Pentateuch with variant readings
[CrossWire] *[SahidicBible]  	(1.1)  	- Sahidic Bible - Askeland / Schulz
[CrossWire] *[Scofield]  	(1.0)  	- Scofield Reference Notes, 1917 Edition
[CrossWire] *[ScotsGaelic]  	(1.2)  	- Scottish Gaelic Gospel of Mark
[CrossWire] *[Sentiment]  	(1.0)  	- Sentiment Analysis of the Bible
[CrossWire] *[Shona]  	(1.1)  	- Shona Bible
[CrossWire] *[SloKJVA]  	()  	- Sveto pismo Kralja Jakoba (1769)
[CrossWire] *[SloOjacano]  	(1.0)  	- Ojačano Sveto pismo (Ps + Gal)
[CrossWire] *[SloStritar]  	(1.0)  	- Novi testament in Psalmi Davidovi Josipa Stritarja (1882)
[CrossWire] *[SomKQA]  	(1.0)  	- Kitaabka Quduuska Ah
[CrossWire] *[Sorani]  	(2.0.1)  	- Bible in Sorani Kurdish language
[CrossWire] *[SpaRV]  	(1.6)  	- La Santa Biblia Reina-Valera (1909)
[CrossWire] *[SpaRV1909]  	(1.0.1)  	- Reina-Valera 1909 con números de Strong
[CrossWire] *[SpaRVG]  	(1.1)  	- Reina Valera Gómez
[CrossWire] *[SpaSEV]  	(1.1)  	- Spanish Sagradas Escrituras Version Antigua (1569)
[CrossWire] *[SpaTDP]  	(1.0)  	- Spanish Traducción de dominio público (Mateo a Romanos)
[CrossWire] *[SpaVNT]  	(1.2.1)  	- Spanish 1858 Reina Valera New Testament
